Title,Category,Variant,Description
Zeeba,RICE,10LB,"Rich in antioxidants, Zeeba is an ideal ingredient for maintaining overall well-being and health. Ideal for health and flavor together."
Shri lal mahal,RICE,10LB,"Boosting digestion and immunity, Shri lal mahal is an aromatic choice for your everyday cooking needs. A great choice for your regular diet."
Sona masoori rice,RICE,10 lb,"Sona masoori rice provides a perfect balance of nutrition and taste, making it a staple for any modern kitchen. Highly recommended for gourmet preparations."
Royal chef secret basmati rice,RICE,10lb,"Royal chef secret basmati rice is a premium selection from our RICE range, carefully processed to retain its natural aroma and taste. Sourced sustainably for highest quality."
Lal Quilla rice,RICE,,"Add a touch of perfection to your dishes with Lal Quilla rice, sourced with care and delivered fresh. A versatile addition to your shopping list."
Regal rice,RICE,,"Trusted by families for generations, Regal rice continues to be a symbol of quality in RICE. A great choice for your regular diet."
Kitchen King,RICE,,Kitchen King is sourced from the finest ingredients to ensure consistent quality and maximum shelf life. A versatile addition to your shopping list.
Dosa rice/ Idli rice,RICE,20LB,"Specifically selected for its premium grade, Dosa rice/ Idli rice is a must-have for a well-stocked pantry. Guaranteed to enhance any recipe."
Amchoor Powder,SPICES,1 LB,"Add a touch of perfection to your dishes with Amchoor Powder, sourced with care and delivered fresh. Highly recommended for gourmet preparations."
Anardana Powder,SPICES,100 gms,"Rich in antioxidants, Anardana Powder is an ideal ingredient for maintaining overall well-being and health. It is suitable for a wide variety of cuisines."
Anardana Whole,SPICES,100 gms,"Boosting digestion and immunity, Anardana Whole is an aromatic choice for your everyday cooking needs. A versatile addition to your shopping list."
Black Pepper Whole,SPICES,1 LB,"Packed with protein and fiber, Black Pepper Whole provides the essential nutrients required for a healthy lifestyle. Ideal for health and flavor together."
Black Pepper Powder,SPICES,1 LB,"For health-conscious individuals, Black Pepper Powder serves as an excellent source of vital nutrients and energy. Highly recommended for gourmet preparations."
White Pepper Powder,SPICES,1 LB,White Pepper Powder is sourced from the finest ingredients to ensure consistent quality and maximum shelf life. Packed in hygienic conditions.
Ginger Powder,SPICES,1 LB,"For health-conscious individuals, Ginger Powder serves as an excellent source of vital nutrients and energy. A pure and natural product."
Garlic Powder,SPICES,1 LB,"Specifically selected for its premium grade, Garlic Powder is a must-have for a well-stocked pantry. It is suitable for a wide variety of cuisines."
Black Salt,SPICES,1 LB,"Trusted by families for generations, Black Salt continues to be a symbol of quality in SPICES. Ideal for health and flavor together."
MSG/ Tasting Salt,SPICES,1 LB,"MSG/ Tasting Salt is a premium selection from our SPICES range, carefully processed to retain its natural aroma and taste. Sourced sustainably for highest quality."
Whole Red Chilli,SPICES,1 LB,"Trusted by families for generations, Whole Red Chilli continues to be a symbol of quality in SPICES. Enjoy the consistent taste in every use."
Chilli Flakes/Crushed,SPICES,1 LB,"Naturally low in fat, Chilli Flakes/Crushed is a healthy carbohydrate source for a balanced and energetic diet. Highly recommended for gourmet preparations."
Chilli Powder,SPICES,1 LB,"Enhance your culinary creations by adding Chilli Powder, preferred by professional chefs for its quality. Highly recommended for gourmet preparations."
Extra Hot Chili Powder,SPICES,1 LB,Superior quality Extra Hot Chili Powder is now available to help you create delicious and nutritious meals. It is suitable for a wide variety of cuisines.
Kashmiri Chilly Powder,SPICES,1 LB,Superior quality Kashmiri Chilly Powder is now available to help you create delicious and nutritious meals. It is suitable for a wide variety of cuisines.
Paprika,SPICES,1 LB,"Paprika is a premium selection from our SPICES range, carefully processed to retain its natural aroma and taste. Ideal for health and flavor together."
Garam Masala,SPICES,1 LB,"Packed with protein and fiber, Garam Masala provides the essential nutrients required for a healthy lifestyle. Guaranteed to enhance any recipe."
Curry Powder,SPICES,1 LB,"Enhance your culinary creations by adding Curry Powder, preferred by professional chefs for its quality. It is suitable for a wide variety of cuisines."
Turmeric Powder,SPICES,1 LB,"Packed with protein and fiber, Turmeric Powder provides the essential nutrients required for a healthy lifestyle. Enjoy the consistent taste in every use."
Coriander Powder,SPICES,1 LB,"Coriander Powder is a premium selection from our SPICES range, carefully processed to retain its natural aroma and taste. Enjoy the consistent taste in every use."
Coriander Seeds,SPICES,1 LB,"For health-conscious individuals, Coriander Seeds serves as an excellent source of vital nutrients and energy. Packed in hygienic conditions."
Cumin Powder,SPICES,1 LB,"Specifically selected for its premium grade, Cumin Powder is a must-have for a well-stocked pantry. A versatile addition to your shopping list."
Cumin Seeds,SPICES,1 LB,"Boosting digestion and immunity, Cumin Seeds is an aromatic choice for your everyday cooking needs. A versatile addition to your shopping list."
Dana Jerra Powder,SPICES,1 LB,"Trusted by families for generations, Dana Jerra Powder continues to be a symbol of quality in SPICES. Sourced sustainably for highest quality."
Kala Jeera,SPICES,1 LB,"Kala Jeera provides a perfect balance of nutrition and taste, making it a staple for any modern kitchen. A great choice for your regular diet."
Lucknowi fennel,SPICES,1 LB,"In the SPICES category, Lucknowi fennel stands out for its unique blend of flavor and health benefits. Enjoy the consistent taste in every use."
Fennel Seeds,SPICES,1 LB,"In the SPICES category, Fennel Seeds stands out for its unique blend of flavor and health benefits. Packed in hygienic conditions."
Fennel Powder,SPICES,1 LB,"Add a touch of perfection to your dishes with Fennel Powder, sourced with care and delivered fresh. A pure and natural product."
Fennel Candy,SPICES,1 LB,"Rich in antioxidants, Fennel Candy is an ideal ingredient for maintaining overall well-being and health. Packed in hygienic conditions."
Rock Candy,SPICES,1 LB,"Add a touch of perfection to your dishes with Rock Candy, sourced with care and delivered fresh. Guaranteed to enhance any recipe."
Green Mukhwas,SPICES,1 LB,"Packed with protein and fiber, Green Mukhwas provides the essential nutrients required for a healthy lifestyle. Packed in hygienic conditions."
Red Mukhwas,SPICES,1 LB,"Red Mukhwas is a premium selection from our SPICES range, carefully processed to retain its natural aroma and taste. A great choice for your regular diet."
Ajwain Seeds,SPICES,1 LB,"Rich in antioxidants, Ajwain Seeds is an ideal ingredient for maintaining overall well-being and health. A pure and natural product."
Poppy Seeds,SPICES,1 LB,"Boosting digestion and immunity, Poppy Seeds is an aromatic choice for your everyday cooking needs. A great choice for your regular diet."
Mustard Seeds Black,SPICES,1 LB,Mustard Seeds Black offers an authentic flavor profile that is essential for various traditional recipes. Sourced sustainably for highest quality.
Sesame Seeds White,SPICES,1 LB,"Discover the difference with Sesame Seeds White, a top-tier SPICES item for health and wellness. Sourced sustainably for highest quality."
Sesame Seeds  Brown,SPICES,1 LB,"Boosting digestion and immunity, Sesame Seeds  Brown is an aromatic choice for your everyday cooking needs. Guaranteed to enhance any recipe."
Kalonji Seeds,SPICES,1 LB,Kalonji Seeds is sourced from the finest ingredients to ensure consistent quality and maximum shelf life. A pure and natural product.
Methi Seeds,SPICES,1 LB,"In the SPICES category, Methi Seeds stands out for its unique blend of flavor and health benefits. Enjoy the consistent taste in every use."
Crushed Mint,SPICES,1 LB,"Rich in antioxidants, Crushed Mint is an ideal ingredient for maintaining overall well-being and health. A versatile addition to your shopping list."
Dhagar Phool,SPICES,1 LB,"Rich in antioxidants, Dhagar Phool is an ideal ingredient for maintaining overall well-being and health. Enjoy the consistent taste in every use."
Cinamon Stick - Flat,SPICES,1 LB,"Naturally low in fat, Cinamon Stick - Flat is a healthy carbohydrate source for a balanced and energetic diet. Highly recommended for gourmet preparations."
Cinamon Stick - Round,SPICES,1 LB,Cinamon Stick - Round is sourced from the finest ingredients to ensure consistent quality and maximum shelf life. A pure and natural product.
Cinnamon Powder,SPICES,1 LB,"Cinnamon Powder provides a perfect balance of nutrition and taste, making it a staple for any modern kitchen. It is suitable for a wide variety of cuisines."
Cloves,SPICES,1 LB,"A widely recognized favorite, Cloves is celebrated for its purity and unadulterated nature. A versatile addition to your shopping list."
Clove Powder,SPICES,1 LB,Superior quality Clove Powder is now available to help you create delicious and nutritious meals. Highly recommended for gourmet preparations.
Green Cardamom,SPICES,1 LB,"In the SPICES category, Green Cardamom stands out for its unique blend of flavor and health benefits. A versatile addition to your shopping list."
Cardamom Powder,SPICES,1 LB,"Cardamom Powder is a premium selection from our SPICES range, carefully processed to retain its natural aroma and taste. Guaranteed to enhance any recipe."
Cardamom Seeds,SPICES,1 LB,"Discover the difference with Cardamom Seeds, a top-tier SPICES item for health and wellness. Highly recommended for gourmet preparations."
Black Cardamom,SPICES,1 LB,"Rich in antioxidants, Black Cardamom is an ideal ingredient for maintaining overall well-being and health. A pure and natural product."
Bay Leaf,SPICES,1 LB,Superior quality Bay Leaf is now available to help you create delicious and nutritious meals. Ideal for health and flavor together.
Mace (Zavitri) Powder,SPICES,1 LB,"Rich in antioxidants, Mace (Zavitri) Powder is an ideal ingredient for maintaining overall well-being and health. It is suitable for a wide variety of cuisines."
Mace (Zavitri) Whole,SPICES,1 LB,Superior quality Mace (Zavitri) Whole is now available to help you create delicious and nutritious meals. A pure and natural product.
Nutmeg (Jayfal) Powder,SPICES,1 LB,"A widely recognized favorite, Nutmeg (Jayfal) Powder is celebrated for its purity and unadulterated nature. Ideal for health and flavor together."
Nutmeg (Jayfal) Whole,SPICES,1 LB,"In the SPICES category, Nutmeg (Jayfal) Whole stands out for its unique blend of flavor and health benefits. Ideal for health and flavor together."
Star Anise Whole,SPICES,1 LB,"Specifically selected for its premium grade, Star Anise Whole is a must-have for a well-stocked pantry. A great choice for your regular diet."
